genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
(AACS + ABAT + ACAT1 + AGXT2 + ALDH2 + AOX1 + BCAT1 + DBT + EHHADH + MCCC1 + MUT + OXCT2 + PCCA)	COAD	0.838622069492058	1.51908124803092e-34	33.8184189972841	Underexpression	****	3.2e-14	13.4948500216801	Mutation	Tumor mutational burden	0.519	NS	0.103	NS	0.234	NS	0.11	NS
(AACS + ABAT + ACSF3 + AGXT2 + ALDH1B1 + AUH + BCAT1 + DBT + EHHADH + HADH + HMGCLL1 + MUT + OXCT2)	HNSC	0.733557474779105	7.64505603141403e-83	82.1166193272504	Unchanged	ns	0.77	0.113509274827518	Mutation	Tumor mutational burden	0.566	NS	0.92	NS	0.315	NS	0.394	NS
(AACS + ABAT + ACSM1 + ACSM2A + ACSM2B + ACSM3 + ACSM4 + ACSM5 + ALDH5A1 + BDH1 + GAD1 + GAD2 + HMGCLL1 + HMGCS1 + HMGCS2 + L2HGDH + OXCT1 + OXCT2)	SKCM	0.813090278354366	6.54339123252025e-138	137.184197112249	Underexpression	****	2.8e-86	85.5528419686578	Mutation	Tumor mutational burden	0.753	NS	0.968	NS			0.417	NS
(AACS + ABAT + ACSM1 + ACSM2A + ACSM2B + EHHADH + HADH + HMGCLL1 + OXCT2)	HNSC	0.657236029232404	1.23399771986453e-41	40.9086856427754	Underexpression	****	7.3e-05	4.13667713987954	Mutation	Tumor mutational burden	0.697	NS	0.612	NS	0.291	NS	0.159	NS
(AACS + ABAT + AGXT2 + ALDH1B1 + ALDH7A1 + AOX1 + BCAT1 + DBT + HADHB + HIBADH + HMGCLL1 + HMGCS1 + HMGCS2 + IVD + MCCC1 + OXCT1 + OXCT2)	SKCM	0.814410024150137	1.45805379278046e-116	115.836226453057	Underexpression	****	1.3e-162	161.886056647693	Mutation	Tumor mutational burden	0.602	NS	0.278	NS			0.32	NS
(AACS + ACADM + ACSF3 + ALDH1B1 + ALDH2 + ALDH9A1 + HIBADH + HMGCS2 + HSD17B10 + IL4I1 + MCCC1 + MUT + OXCT1 + OXCT2)	CESC	0.672167956447615	0.0105645859859674	1.97614751778184	Unchanged	ns	0.053	1.27572413039921	Mutation	Microsatellite instability	0.299	NS	0.319	NS	0.997	NS	0.459	NS
(AACS + ACSM1 + ACSM5 + GAD2 + HMGCS2 + L2HGDH + OXCT1 + OXCT2)	CESC	0.685806189644352	0.00684975871784792	2.16432472622331	Unchanged	ns	0.076	1.11918640771921	Mutation	Microsatellite instability	0.437	NS	0.6	NS	0.997	NS	0.667	NS
(AACS + ACSM3 + EHHADH + HADH + HMGCLL1 + OXCT1)	ACC	0.802546548860999	4.59618915836197e-17	16.3376021060189	Underexpression	****	2.7e-05	4.56863623584101	Mutation	Tumor mutational burden	0.595	NS	0.574	NS			0.229	NS
(AACS + EHHADH + HADH + HMGCLL1 + OXCT1)	ACC	0.846404450443031	9.16723782519845e-21	20.0377615016235	Underexpression	****	5.5e-10	9.25963731050576	Mutation	Tumor mutational burden	0.808	NS	0.789	NS			0.17	NS
(AACS + EHHADH)	STAD	0.337139095601717	5.08447705399018e-11	10.2937537082762	Overexpression	****	2.4e-27	26.6197887582884	Mutation	Tumor mutational burden	0.2	NS	0.174	NS	0.000436	Risky	0.328	NS
(AACS + HMGCLL1 + OXCT1)	ACC	0.429472568027218	5.70395514322435e-15	14.243823898501	Underexpression	****	5.1e-15	14.2924298239021	Mutation	Microsatellite instability	0.998	NS	0.998	NS			0.152	NS
(AACS + PCCA)	LGG	0.546121658026414	4.1113981813009e-39	38.3860104605664	Overexpression	****	4.3e-19	18.3665315444204	Mutation	Microsatellite instability	0.995	NS	0.995	NS	0.998	NS	0.741	NS
(AACS + PCCA)	LGG	0.815581281593269	1.47139613097288e-119	118.832270390267	Overexpression	****	4.3e-19	18.3665315444204	Mutation	Tumor mutational burden	0.995	NS	0.995	NS	0.998	NS	0.741	NS
(AADAT + AANAT + ACAT2 + ACMSD + ALDH1B1 + ALDH2 + ALDH7A1 + ALDH8A1 + AOC1 + ASMT + CCBL1 + CCBL2 + CYP1A1 + CYP1A2 + DDC + DHTKD1 + DLST + ECHS1 + EHHADH + GCDH + HAAO + HADH + HADHA + IDO2 + IL4I1 + INMT + KMO + MAOA + TPH2)	UCEC	0.921937484443232	9.12448527154845e-84	83.0397916255051	Overexpression	*	0.031	1.50863830616573	Mutation	Tumor mutational burden	0.0921	NS	0.149	NS	0.328	NS	0.0412	Protective
(AADAT + AASS + ACAT1 + ALDH1B1 + ASH1L + COLGALT2 + DLST + DOT1L + EHHADH + EHMT2 + EZH1 + HADH + HADHA + KMT2A + MECOM + PHYKPL + PLOD2 + PRDM16 + PRDM2 + PRDM9 + SETD1B + SETD2 + SETD7 + SETD8 + SUV420H1 + WHSC1L1)	BRCA	0.885713532721964	5.42851809233684e-259	258.265318710403	Underexpression	****	3.6e-88	87.4436974992327	Mutation	Tumor mutational burden	0.519	NS	0.121	NS	0.404	NS	0.579	NS
(AADAT + AASS + ALDH1B1 + ALDH7A1 + ASH1L + BBOX1 + DHTKD1 + DOT1L + EHMT2 + HYKK + KMT2A + KMT2B + KMT2C + KMT2E + MECOM + NSD1 + PIPOX + PLOD1 + PLOD2 + PLOD3 + PRDM16 + PRDM2 + PRDM9 + SETD1A + SETD2 + SETDB1 + SETDB2 + SETMAR)	SKCM	0.825921220276029	0.0195514131751687	1.70882184635012	Underexpression	****	2.6e-11	10.5850266520292	Mutation	Tumor mutational burden	0.741	NS	0.442	NS			0.149	NS
(AADAT + ACAT1 + AFMID + ALDH1B1 + AOX1 + DLST + EHHADH + HAAO + HADH + HADHA + KYNU + MAOB)	BRCA	0.738087964281983	4.39521486808784e-133	132.357019888794	Underexpression	****	8.4e-82	81.0757207139381	Mutation	Tumor mutational burden	0.814	NS	0.733	NS	0.383	NS	0.825	NS
(AADAT + ACAT1 + AOC1 + AOX1 + TPH2)	BRCA	0.336552912501012	3.56197156415376e-18	17.4483095519083	Underexpression	****	2.7e-10	9.56863623584101	Mutation	Microsatellite instability	0.736	NS	0.949	NS	0.714	NS	0.876	NS
(AADAT + ACAT1 + ASH1L + KMT2A + KMT2E + PHYKPL + SUV420H1 + WHSC1 + WHSC1L1)	BRCA	0.434269155187501	3.13510741530638e-11	10.5037475747453	Underexpression	****	6.2e-22	21.2076083105017	Mutation	Microsatellite instability	0.991	NS	0.322	NS	0.45	NS	0.842	NS
(AADAT + ACAT2 + ALDH1B1 + ALDH2 + ALDH7A1 + BBOX1 + CAMKMT + COLGALT1 + COLGALT2 + DHTKD1 + DLST + ECHS1 + EHHADH + EHMT2 + EZH1 + GCDH + HADH + HADHA + KMT2B + KMT2C + KMT2E + MECOM + PHYKPL + PIPOX + PLOD1 + PRDM2 + PRDM7 + PRDM9 + SETD1A + SETD1B + SETDB1 + SETDB2 + SETMAR + SUV420H1 + SUV420H2 + TMLHE + WHSC1)	UCEC	0.947018474476985	2.26988195445057e-52	51.6439967277689	Underexpression	****	9.4e-09	8.0268721464003	Mutation	Tumor mutational burden	0.0976	NS	0.139	NS	0.432	NS	0.0405	Protective
(AADAT + ACMSD + ALDH1B1 + ALDH7A1 + AOC1 + AOX1 + ASMT + CYP1A1 + CYP1A2 + DDC + DHTKD1 + HAAO + IDO2 + INMT + KMO + MAOA + MAOB + TDO2 + TPH1 + TPH2)	SKCM	0.807353637129549	1.24867371779885e-22	21.9035510292572	Underexpression	****	2.7e-40	39.568636235841	Mutation	Tumor mutational burden	0.782	NS	0.875	NS			0.941	NS
(AADAT + ASH1L + DOT1L + KMT2B + KMT2C + KMT2E + NSD1)	STAD	0.720777043949436	4.61435487558972e-09	8.33588900830132	Overexpression	****	3.9e-20	19.4089353929735	Mutation	Tumor mutational burden	0.259	NS	0.0876	NS	0.411	NS	0.0985	NS
(AADAT + DDC + KMO)	STAD	0.511596317616746	3.00814541617937e-27	26.5217011734269	Overexpression	****	6e-62	61.2218487496164	Mutation	Tumor mutational burden	0.245	NS	0.345	NS	0.368	NS	0.36	NS
(AANAT + ACAT2 + AFMID + ALDH2 + ALDH8A1 + AOC1 + AOX1 + ASMT + CCBL1 + CCBL2 + CYP1A2 + DLST + GCDH + INMT)	STAD	0.675202787675543	2.5248406089055e-07	6.59776603333056	Unchanged	ns	0.22	0.657577319177794	Mutation	Microsatellite instability	0.125	NS	0.117	NS	0.431	NS	0.0746	NS
(AANAT + ACAT2 + ALDH1B1 + ALDH2 + AOX1 + DLST + ECHS1 + EHHADH + GCDH + TPH2)	COAD	0.701305660093593	3.38695493488426e-30	29.4701905818205	Underexpression	****	7.5e-08	7.1249387366083	Mutation	Microsatellite instability	0.906	NS	0.162	NS	0.866	NS	0.345	NS
(AANAT + ACMSD + AFMID + ALDH9A1 + AOC1 + AOX1 + CYP1A1 + DLST + ECHS1 + EHHADH + HAAO + IDO2 + KYNU + MAOA + MAOB + TPH1)	GBM	0.98618409785858	1.95028415946804e-07	6.70990210663847	Overexpression	****	9.1e-62	61.0409586076789	Mutation	Tumor mutational burden	0.846	NS	0.74	NS			0.473	NS
(AANAT + ACMSD + ALDH1B1 + ALDH7A1 + ALDH8A1 + AOX1 + CCBL1 + DHTKD1 + ECHS1 + EHHADH + GCDH + KMO)	LGG	0.685713880519188	0.020996843514789	1.67784598846344	Overexpression	****	5.4e-82	81.267606240177	Mutation	Microsatellite instability	0.276	NS	0.304	NS			0.343	NS
(AANAT + ACMSD + ALDH1B1 + ALDH7A1 + ALDH8A1 + AOX1 + CCBL1 + DHTKD1 + ECHS1 + EHHADH + GCDH + KMO)	LGG	0.969602719108869	2.00101021409998e-17	16.6987506945142	Overexpression	****	5.4e-82	81.267606240177	Mutation	Tumor mutational burden	0.276	NS	0.304	NS			0.343	NS
(AANAT + ASMT + EHHADH + GCDH + INMT + KYNU + TPH1 + TPH2)	LUAD	0.475156058167267	2.82650994175204e-28	27.5487494826467	Underexpression	****	3.6e-60	59.4436974992327	Mutation	Tumor mutational burden	0.308	NS	0.156	NS	0.839	NS	0.536	NS
(AASDHPPT + ALDH1B1 + ALDH2 + COASY + DPYS + ENPP1 + VNN2)	CESC	0.445899019575453	4.24340415506134e-14	13.372285602701	Underexpression	****	6.8e-05	4.16749108729376	Mutation	Microsatellite instability	0.996	NS	0.996	NS	0.997	NS	0.995	NS
(AASDHPPT + ALDH1B1 + BCAT1 + CSAD + DPYD + DPYS + ENPP1 + ENPP3 + GADL1 + PANK2 + PPCS + UPB1 + VNN2)	SKCM	0.732484811485164	1.13681773618406e-29	28.9443091593357	Overexpression	*	0.037	1.43179827593301	Mutation	Tumor mutational burden	0.839	NS	0.394	NS			0.499	NS
(AASDHPPT + ALDH2 + DPYD + PANK3 + PPCS + UPB1)	BLCA	0.616387150510579	3.89375342278205e-42	41.4096315542325	Underexpression	****	7.5e-11	10.1249387366083	Mutation	Tumor mutational burden	0.0898	NS	0.142	NS	0.997	NS	0.07	NS
(AASDHPPT + DPYD + DPYS + ENPP1)	LUAD	0.423848123402348	4.22128539388093e-22	21.3745552849463	Underexpression	****	3.9e-32	31.4089353929735	Mutation	Tumor mutational burden	0.156	NS	0.47	NS	0.309	NS	0.787	NS
(AASS + ACAT1 + ACAT2 + ALDH2 + ALDH7A1 + ALDH9A1 + CAMKMT + COLGALT1 + COLGALT2 + DLST + ECHS1 + EHMT1 + GCDH + HADH + HADHA + MECOM + PHYKPL + PLOD1 + PLOD2 + PLOD3 + PRDM16 + PRDM9 + SETD1A + SETD2 + SETD7 + SETDB1 + SETDB2 + SMYD1 + SMYD2 + TMLHE + WHSC1)	STAD	0.889688775948663	1.10498640022423e-30	29.9566430670865	Overexpression	****	2.7e-06	5.56863623584101	Mutation	Tumor mutational burden	0.163	NS	0.351	NS	0.685	NS	0.124	NS
(AASS + ACAT1 + ALDH1B1 + ALDH2 + COLGALT1 + DHTKD1 + DOT1L + EZH1 + KMT2A + KMT2B + KMT2C + NSD1 + PRDM9 + SETD2)	CESC	0.720065924035235	8.50544951878587e-24	23.0703027286864	Underexpression	****	1.9e-05	4.72124639904717	Mutation	Tumor mutational burden	0.697	NS	0.932	NS	0.723	NS	0.756	NS
(AASS + ACAT1 + ALDH9A1 + EHMT1 + PRDM6 + SETD8 + SMYD1 + SMYD2)	UCEC	0.81075160372883	7.09305103865134e-42	41.1491669151374	Underexpression	****	3.2e-31	30.4948500216801	Mutation	Tumor mutational burden	0.997	NS	0.997	NS	0.279	NS	0.0477	Protective
(AASS + ACAT1 + DOT1L + EHMT1 + EHMT2 + GCDH + HADHA + HYKK + KMT2E + NSD1 + PRDM2 + SETD2 + SETD8 + SMYD1 + SMYD2 + SUV39H2 + SUV420H1 + SUV420H2 + WHSC1)	PAAD	0.99708194851253	9.62756728071019e-24	23.0164834376973	Overexpression	****	1.3e-27	26.8860566476932	Mutation	Tumor mutational burden	0.678	NS	0.544	NS	0.252	NS	0.774	NS
(AASS + ACAT2 + ALDH2 + COLGALT2 + DHTKD1 + DOT1L + EZH1 + HADH + KMT2B + KMT2E + MECOM + PLOD2 + PRDM16 + PRDM2 + SETD2 + SETD8 + SETDB1 + SETDB2 + SUV39H2 + WHSC1)	BLCA	0.732937001780015	1.01819761046711e-67	66.9921679265112	Underexpression	****	3e-07	6.52287874528034	Mutation	Tumor mutational burden	0.053	NS	0.0292	Protective	0.537	NS	0.083	NS
(AASS + ALDH1B1 + ALDH2 + ALDH9A1 + COLGALT1 + DLST + DOT1L + KMT2B + MECOM + NSD1 + PIPOX + PLOD1 + PLOD2 + PRDM2 + PRDM7 + SETD1A + SETD1B + SETD2 + SETDB2 + SMYD2 + SUV39H2 + SUV420H2 + WHSC1)	CESC	0.564631556447584	0.000537468857643218	3.26964669484591	Unchanged	ns	0.37	0.431798275933005	Mutation	Microsatellite instability	0.884	NS	0.959	NS	0.223	NS	0.55	NS
(AASS + ALDH7A1 + EZH1)	HNSC	0.336800807005709	2.60519654404699e-13	12.5841595066158	Underexpression	***	0.00048	3.31875876262441	Mutation	Tumor mutational burden	0.16	NS	0.993	NS			0.118	NS
(AASS + ALDH9A1 + ASH1L + CAMKMT + COLGALT1 + COLGALT2 + DLST + ECHS1 + EHHADH + EHMT1 + EHMT2 + EZH1 + KMT2A + KMT2B + KMT2C + KMT2E + MECOM + NSD1 + PIPOX + PLOD1 + PRDM16 + PRDM2 + PRDM7 + PRDM9 + SETD2 + SETD8 + SETDB2 + SUV39H2 + SUV420H2 + TMLHE + WHSC1 + WHSC1L1)	GBM	0.987233923835328	6.54702954933297e-05	4.18395569893087	Overexpression	****	3.5e-19	18.4559319556497	Mutation	Tumor mutational burden	0.548	NS	0.635	NS			0.483	NS
(AASS + ALDH9A1 + COLGALT2 + EHHADH + EHMT1 + HADH + HADHA + KMT2B + KMT2C + KMT2E + MECOM + NSD1 + PLOD2 + PRDM16 + PRDM2 + SETD2 + SETDB1 + TMLHE)	READ	0.982434208360599	5.48936034535936e-34	33.2604782593141	Underexpression	****	8.2e-19	18.0861861476163	Mutation	Tumor mutational burden	0.347	NS	0.998	NS	0.998	NS	0.119	NS
(AASS + ASH1L + BBOX1 + EHHADH + GCDH + KMT2A + KMT2B + KMT2C + NSD1 + PLOD2 + PLOD3 + PRDM16 + PRDM9 + SETD1A + SMYD1 + SUV420H1)	LUAD	0.624528030244024	0.00258446528368083	2.58762929719995	Underexpression	****	6.9e-29	28.1611509092627	Mutation	Tumor mutational burden	0.891	NS	0.311	NS	0.106	NS	0.241	NS
(AASS + ASH1L + CAMKMT + EHHADH + EZH1 + KMT2A + KMT2B + KMT2C + KMT2E + MECOM + NSD1 + PLOD2 + PLOD3 + PRDM16 + PRDM9 + WHSC1L1)	LUSC	0.567809944046479	0.0150481934712667	1.82251563379451	Underexpression	****	4.1e-27	26.3872161432803	Mutation	Tumor mutational burden	0.724	NS	0.454	NS	0.872	NS	0.87	NS
(AASS + HADH + PRDM16)	READ	0.553846033979048	4.32705026567881e-06	5.36380805974	Underexpression	****	4.9e-39	38.3098039199715	Mutation	Microsatellite instability	0.854	NS	0.999	NS	0.999	NS	0.998	NS
(ABAT + ACAA1 + ACADM + ACADS + ALDH6A1 + ALDH9A1 + AOX1 + BCAT1 + BCKDHB + ECHS1 + EHHADH + HIBADH + HMGCL + HMGCS1 + HMGCS2 + MCCC1 + MCCC2 + MUT + OXCT1 + PCCB)	GBM	0.9946934135415	1.36066718360839e-37	36.8662480893434	Overexpression	****	3.7e-53	52.431798275933	Mutation	Tumor mutational burden	0.72	NS	0.7	NS			0.369	NS
(ABAT + ACAA1 + ACADS + ACAT1 + ACSF3 + AGXT2 + ALDH6A1 + AOX1 + AUH + BCKDHB + HADHA + HADHB + HIBADH + HMGCS2 + MCCC2 + MCEE + MUT + OXCT1)	PAAD	0.999814084344044	4.67445609561877e-22	21.3302689149334	Overexpression	****	1.6e-21	20.7958800173441	Mutation	Tumor mutational burden	0.677	NS	0.55	NS	0.23	NS	0.755	NS
(ABAT + ACACA + ACACB + ACADS + ACOX3 + ALDH6A1 + BCKDHB + ECHDC1 + HADHA + LDHB + MCEE + MUT + SUCLA2 + SUCLG1)	PAAD	0.999814084344044	7.72056644139382e-287	286.112350835241	Overexpression	****	5.6e-27	26.2518119729938	Mutation	Tumor mutational burden	0.677	NS	0.55	NS	0.23	NS	0.755	NS
(ABAT + ACACA + ACACB + ACSS3 + DBT + LDHA + LDHAL6B + LDHC + MLYCD)	SKCM	0.711407708954357	2.2011140631756e-94	93.6573574514384	Underexpression	****	8.5e-51	50.0705810742857	Mutation	Tumor mutational burden	0.927	NS	0.847	NS			0.647	NS
(ABAT + ACACA + ACADS + ACSS3 + ALDH6A1 + BCKDHB + ECHS1 + EHHADH + LDHA + LDHAL6A + LDHC + MUT + PCCB)	GBM	0.985211660752945	4.45615733375989e-113	112.351039483908	Overexpression	****	1.5e-17	16.8239087409443	Mutation	Tumor mutational burden	0.173	NS	0.212	NS			0.434	NS
(ABAT + ACACA + ALDH6A1 + HIBCH + LDHB + SUCLA2)	PRAD	0.939268408158212	6.94850979760044e-287	286.15810832578	Overexpression	****	1.6e-09	8.79588001734407	Mutation	Tumor mutational burden	0.999	NS	0.999	NS	0.925	NS	0.00323	Risky
(ABAT + ACACA + ALDH6A1 + HIBCH + LDHB + SUCLA2)	PRAD	0.415662509844458	0.000907714083351415	3.04205092634334	Overexpression	****	1.6e-09	8.79588001734407	Mutation	Microsatellite instability	0.999	NS	0.999	NS	0.925	NS	0.00323	Risky
(ABAT + ACACA + ALDH6A1 + HIBCH + LDHB + SUCLA2)	PRAD	0.192744058612488	0.000488534182015211	3.31110504393859	Overexpression	****	1.6e-09	8.79588001734407	Mutation	Stemness	0.999	NS	0.999	NS	0.925	NS	0.00323	Risky
(ABAT + ACACB + ACSS3 + EHHADH + LDHAL6B + LDHB + MCEE + SUCLG1)	LUAD	0.413946505478278	7.74565178829858e-73	72.1109420309517	Underexpression	****	1.9e-40	39.7212463990472	Mutation	Tumor mutational burden	0.809	NS	0.904	NS	0.925	NS	0.918	NS
(ABAT + ACACB + BCKDHB + LDHAL6B + SUCLG1)	READ	0.449174267496899	6.05382309472082e-163	162.21797027418	Underexpression	****	7.2e-24	23.1426675035687	Mutation	Tumor mutational burden	0.998	NS	0.999	NS			0.998	NS
(ABAT + ACACB + DBT + EHHADH + LDHAL6A + LDHB + MUT + PCCA + SUCLG2)	COAD	0.817941023552406	4.20189843292692e-61	60.3765544494437	Underexpression	****	2.4e-18	17.6197887582884	Mutation	Tumor mutational burden	0.349	NS	0.209	NS	0.325	NS	0.133	NS
(ABAT + ACACB + DBT + EHHADH + LDHAL6B + MUT)	HNSC	0.573174276133218	7.56672242522205e-70	69.1210921972344	Unchanged	ns	0.9	0.0457574905606751	Mutation	Tumor mutational burden	0.824	NS	0.899	NS	0.699	NS	0.565	NS
(ABAT + ACADM + ACSF3 + AGXT2 + EHHADH + HADHB + HMGCS1 + MCEE + OXCT2)	LUAD	0.446631127016284	1.10419709723417e-24	23.9569533988884	Unchanged	ns	0.85	0.0705810742857073	Mutation	Tumor mutational burden	0.676	NS	0.839	NS	0.975	NS	0.785	NS
(ABAT + ACADS + ACAT1 + ACSM2A + ACSM2B + ACSM3 + ACSM4 + ACSM5 + ALDH5A1 + BDH1 + HADHA + HMGCS2 + OXCT1)	PAAD	0.996876044410338	4.20882368552661e-26	25.3758392671735	Overexpression	****	4.9e-05	4.30980391997149	Mutation	Tumor mutational burden	0.739	NS	0.603	NS	0.208	NS	0.762	NS
(ABAT + ACADS + ACOX3 + ALDH3A1 + ALDH3B1 + ALDH3B2 + ALDH6A1 + CNDP2 + CSAD + HADHA + SMOX + UPB1)	PAAD	0.999814084344044	0.000479990309669056	3.3187675303322	Overexpression	****	2.6e-48	47.5850266520292	Mutation	Tumor mutational burden	0.677	NS	0.55	NS	0.23	NS	0.755	NS
(ABAT + ACADS + ACSM1 + ACSM2A + ACSM3 + ACSM4 + ACSM5 + ALDH5A1 + ECHS1 + EHHADH + GAD1 + GAD2 + HMGCL + HMGCS1 + HMGCS2 + L2HGDH + OXCT1)	GBM	0.990058343674166	1.19894496490789e-125	124.921200751835	Underexpression	****	1.9e-14	13.7212463990472	Mutation	Tumor mutational burden	0.724	NS	0.766	NS			0.479	NS
(ABAT + ACADS + ACSS1 + ACSS3 + ALDH6A1 + DBT + ECHS1 + EHHADH + HADHA + HIBCH + LDHA + LDHAL6A + LDHAL6B + LDHB + LDHC + MLYCD + PCCB + SUCLA2 + SUCLG1 + SUCLG2)	UCEC	0.920393784578174	1.25276234710574e-68	67.9021313081996	Underexpression	****	2.6e-07	6.58502665202918	Mutation	Tumor mutational burden	0.114	NS	0.2	NS	0.258	NS	0.0501	NS
(ABAT + ACADS + ALDH1B1 + ALDH2 + ALDH3A1 + ALDH3B1 + ALDH3B2 + ALDH6A1 + ALDH7A1 + AOC3 + CARNS1 + CNDP1 + CNDP2 + DPYD + DPYS + ECHS1 + EHHADH + GADL1 + HADHA + HIBCH + MLYCD + UPB1)	UCEC	0.925415858554797	1.56115814534208e-78	77.806553100672	Underexpression	****	1.2e-11	10.9208187539524	Mutation	Tumor mutational burden	0.117	NS	0.155	NS	0.366	NS	0.0513	NS
(ABAT + ACADS + ALDH3A1 + ALDH3B2 + ALDH6A1 + ALDH9A1 + AOC2 + AOC3 + CSAD + DPYD + DPYS + ECHS1 + EHHADH + GAD1 + GAD2 + SMOX)	GBM	0.986381063598259	1.090682462429e-115	114.962301670023	Underexpression	****	1.9e-08	7.72124639904717	Mutation	Tumor mutational burden	0.642	NS	0.647	NS			0.5	NS
(ABAT + ACSM1 + ACSM2B + ACSM5 + EHHADH + GAD2 + HMGCS1 + OXCT2)	LUAD	0.502560413047223	7.46440694023185e-68	67.1270046920001	Underexpression	****	7.8e-59	58.1079053973095	Mutation	Tumor mutational burden	0.524	NS	0.5	NS	0.467	NS	0.365	NS
(ABAT + ACSM2A + ACSM3 + L2HGDH)	PRAD	0.439553930064714	7.10038903184521e-07	6.14871785554078	Unchanged	ns	0.71	0.148741651280925	Mutation	Microsatellite instability	0.999	NS	0.999	NS	0.998	NS	0.0154	Risky
(ABAT + ACSM2A + ACSM3 + L2HGDH)	PRAD	0.14379676123299	0.0405317311573716	1.39220484663981	Unchanged	ns	0.71	0.148741651280925	Mutation	Stemness	0.999	NS	0.999	NS	0.998	NS	0.0154	Risky
(ABAT + ACSM2A + ACSM3 + L2HGDH)	PRAD	0.99011586199549	4.11166798073167e-80	79.3859819620959	Unchanged	ns	0.71	0.148741651280925	Mutation	Tumor mutational burden	0.999	NS	0.999	NS	0.998	NS	0.0154	Risky
(ABAT + ADSL + ADSS + ADSSL1 + AGXT2 + ALDH5A1 + CAD + CPS1 + FOLH1 + GAD1 + GLUD2 + GOT1L1 + NIT2 + RIMKLB)	COAD	0.81675442393885	1.07839382278874e-60	59.9672226085095	Overexpression	****	2e-06	5.69897000433602	Mutation	Tumor mutational burden	0.565	NS	0.267	NS	0.515	NS	0.482	NS
