genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
(`ACTA2-AS1` + `CACNA1G-AS1` + `CDKN2B-AS1` + HAGLR + HEIH + `HOXA-AS2` + `LAMP5-AS1` + `LOXL1-AS1` + MIAT + NBAT1 + `NPTN-IT1` + PWAR5 + PWAR6 + `TNK2-AS1` + ULK4P2 + `ZEB2-AS1`)	COAD	-0.608037435226002	3.70350045957109e-08	7.43138759712035	Underexpression	****	4.4e-85	84.3565473235138	Gene expression	Stemness	0.634	NS	0.176	NS	0.25	NS	0.596	NS
(`ACTA2-AS1` + `CACNA1G-AS1` + `GATA6-AS1` + KCNQ1OT1 + `LAMP5-AS1` + `LINC-PINT` + PWAR5 + `ROR1-AS1` + `ZEB2-AS1`)	CESC	-0.617446560595042	1.37309148408809e-18	17.8623005263386	Underexpression	****	9.6e-09	8.01772876696043	Gene expression	Stemness	0.754	NS	0.534	NS	0.237	NS	0.796	NS
(`ACTA2-AS1` + `CACNA1G-AS1` + CASC15 + `CDKN2B-AS1` + FENDRR + HAGLR + HEIH + `LOXL1-AS1` + `MAGI2-AS3` + PWAR5 + PWAR6 + `SOX2-OT` + TINCR + `ZEB2-AS1`)	READ	-0.751695099180702	1.74654049764648e-62	61.7578213397713	Underexpression	****	3.1e-45	44.5086383061657	Gene expression	Stemness	0.531	NS	0.664	NS	0.906	NS	0.185	NS
(`ACTA2-AS1` + `CBR3-AS1` + DUXAP8 + `SOX2-OT`)	THYM	-0.811450924526775	2.65726421588161e-13	12.5755652608722	Overexpression	****	1.3e-53	52.8860566476932	Gene expression	Stemness	0.073	NS	0.506	NS			0.976	NS
(`ACTA2-AS1` + `CRYM-AS1` + `CTB-193M12.5` + FENDRR + `FOXC2-AS1` + `FOXD2-AS1` + `HAS2-AS1` + LINC00460 + PART1 + `SH3PXD2A-AS1` + `SOX21-AS1`)	PCPG	-0.677575209131271	2.42719926902092e-23	22.6148945673501	Unchanged	ns	0.5	0.301029995663981	Gene expression	Stemness	0.924	NS	0.942	NS	0.758	NS	0.5	NS
(`ACTA2-AS1` + `GATA6-AS1` + LINC00662 + NBAT1)	HNSC	-0.418678780497682	9.11066775109694e-14	13.0404497909755	Overexpression	*	0.034	1.46852108295774	Gene expression	Stemness	0.659	NS	0.71	NS	0.512	NS	0.732	NS
(`ACTA2-AS1` + `HOXA-AS2` + LINC01088 + LSINCT5)	BRCA	-0.1816694932924	0.00589410431899409	2.22958218189591	Underexpression	****	4.8e-123	122.318758762624	Gene expression	Microsatellite instability	0.655	NS	0.973	NS	0.201	NS	0.201	NS
(`ACTA2-AS1` + AIRN + CASC15 + `FOXC2-AS1` + `GATA6-AS1` + `HOXA-AS2` + IL7R + LINC00313 + LINC01133 + `MAGI2-AS3` + MIAT + SNHG1 + SNHG12 + `SOX21-AS1` + `TNK2-AS1` + `TSPEAR-AS2` + `ZEB2-AS1`)	THCA	-0.669211618047562	1.74828152315263e-28	27.757388632281	Underexpression	****	4.6e-88	87.3372421683184	Gene expression	Stemness	0.176	NS	0.425	NS	0.408	NS	0.666	NS
(`ACTA2-AS1` + CIR1 + IL7R + KCNQ1OT1 + `MAGI2-AS3`)	UCS	-0.729326221017869	1.08567421516345e-10	9.96430047657318	Underexpression	****	4.3e-23	22.3665315444204	Gene expression	Stemness	0.386	NS	0.303	NS	0.408	NS	0.52	NS
(`ACTA2-AS1` + FENDRR + `MAGI2-AS3` + `NPTN-IT1` + PWAR5 + PWAR6)	ESCA	-0.67977653842588	1.27889689776523e-16	15.893164466105	Underexpression	****	1.4e-68	67.8538719643218	Gene expression	Stemness	0.648	NS	0.442	NS	0.196	NS	0.487	NS
(`ACTA2-AS1` + FENDRR + HAGLR + HOTAIRM1 + IL7R + LINC00630 + LINC01088 + LINC01296 + `TNK2-AS1`)	PAAD	-0.630499482954556	4.83678132573421e-57	56.3154435469249	Overexpression	****	7.1e-43	42.1487416512809	Gene expression	Stemness	0.988	NS	0.719	NS	0.267	NS	0.618	NS
(`ACTA2-AS1` + HOTAIRM1 + `HOXA-AS2` + IL7R)	PAAD	-0.411348310857988	5.52683350972749e-07	6.25752361790343	Overexpression	****	4e-44	43.397940008672	Gene expression	Microsatellite instability	0.516	NS	0.57	NS	0.146	NS	0.381	NS
(`ACTA2-AS1` + HOTAIRM1 + `HOXA-AS2` + NBAT1 + PWAR5 + SNHG22 + `SPRY4-IT1` + TINCR)	LUAD	-0.505794792817513	1.2848937971708e-36	35.8911327674368	Underexpression	****	1.6e-105	104.795880017344	Gene expression	Stemness	0.515	NS	0.669	NS	0.515	NS	0.669	NS
(`ACTA2-AS1` + IL7R + `NPTN-IT1` + PWAR5)	PRAD	-0.436342461370817	5.34819726172876e-08	7.27179258269271	Underexpression	****	1.2e-42	41.9208187539524	Gene expression	Stemness	0.7	NS	0.918	NS	0.572	NS	0.418	NS
(`ACTA2-AS1` + KCNQ1OT1)	OV	-0.479756598135903	1.45864023164187e-05	4.83605181206803	Underexpression	****	3.2e-45	44.4948500216801	Gene expression	Stemness	0.9	NS	0.686	NS	0.796	NS	0.713	NS
(`ACTA2-AS1` + LINC00160)	GBM	-0.425772923472248	1.97297636152267e-08	7.70487811805332	Overexpression	****	7.3e-08	7.13667713987954	Gene expression	Stemness	0.725	NS	0.782	NS			0.32	NS
(`ADAMTS9-AS2` + `HAND2-AS1` + KCNQ1OT1)	OV	-0.421160677441943	2.19911756968587e-18	17.6577515516756	Underexpression	****	2.1e-49	48.6777807052661	Gene expression	Stemness	0.455	NS	0.274	NS	0.923	NS	0.83	NS
(`ADAMTS9-AS2` + `HAND2-AS1` + LUCAT1 + MIR210HG)	SKCM	-0.394969893833192	3.80203636986962e-42	41.4199837330366	Underexpression	****	1.2e-176	175.920818753952	Gene expression	Stemness	0.189	NS	0.22	NS			0.237	NS
(`ADAMTS9-AS2` + `HAND2-AS1`)	CESC	-0.571838847852234	0.00224342004681091	2.64908940366493	Underexpression	****	1.1e-09	8.95860731484177	Gene expression	Stemness	0.644	NS	0.471	NS	0.278	NS	0.775	NS
(`ADAMTS9-AS2` + `HNF1A-AS1`)	KIRC	-0.325225839856631	2.48326148635942e-12	11.6049775470166	Unchanged	ns	0.78	0.10790539730952	Gene expression	Stemness	0.000168	Protective	6.29e-06	Protective	0.376	NS	0.00192	Protective
(`ADAMTS9-AS2` + `HOXA11-AS` + LUCAT1)	LGG	-0.484125586180488	1.40390161099097e-13	12.8526633276058	Overexpression	****	9.3e-52	51.0315170514461	Gene expression	Stemness	4.18e-10	Risky	1.09e-09	Risky	0.64	NS	1e-09	Risky
(`ADAMTS9-AS2` + `HOXB-AS3`)	GBM	-0.350955023916456	4.50740685796426e-13	12.3460732388685	Overexpression	****	1.5e-39	38.8239087409443	Gene expression	Stemness	0.0301	Risky	0.0392	Risky			0.035	Risky
(`ADAMTS9-AS2` + `KCNK15-AS1` + KCNQ1OT1 + `KIF9-AS1` + LINC00113 + LINC00662 + MIR210HG)	TGCT	-0.743511560045188	6.19951052954082e-20	19.2076425980358	Underexpression	****	4.9e-53	52.3098039199715	Gene expression	Stemness	0.994	NS	0.874	NS	0.932	NS	0.647	NS
(`ADAMTS9-AS2` + `SPRY4-IT1`)	BRCA	-0.455228980583101	3.70435311317473e-60	59.4312876213978	Underexpression	****	3.9e-99	98.4089353929735	Gene expression	Stemness	0.686	NS	0.499	NS	0.932	NS	0.301	NS
(`ADAMTS9-AS2` + BLACAT1 + CAHM + CCAT1 + `HNF1A-AS1` + LINC00173 + `MCM3AP-AS1` + `SPRY4-IT1` + UCA1)	KICH	-0.839544549222946	9.39340484082226e-05	4.027176959858	Underexpression	****	1.7e-18	17.7695510786217	Gene expression	Stemness	0.585	NS	0.432	NS	0.937	NS	0.579	NS
(`ADAMTS9-AS2` + CAHM + `CDKN2B-AS1` + HAGLR + TINCR)	READ	-0.604260879518176	1.37919453698717e-15	14.8603744717637	Underexpression	****	9.4e-45	44.0268721464003	Gene expression	Stemness	0.463	NS	0.957	NS	0.686	NS	0.43	NS
(`ADAMTS9-AS2` + CAHM + `HAND2-AS1`)	ESCA	-0.589274384941935	1.46354191742826e-14	13.8345948343869	Underexpression	****	7e-74	73.1549019599858	Gene expression	Stemness	0.542	NS	0.565	NS	0.139	NS	0.54	NS
(`ADAMTS9-AS2` + HAGLR + KCNQ1OT1)	SARC	-0.288260024248211	1.04341806333186e-32	31.9815416491764	Unchanged	ns	0.83	0.0809219076239261	Gene expression	Stemness	0.599	NS	0.568	NS	0.7	NS	0.451	NS
(`ADAMTS9-AS2` + UCA1)	LIHC	-0.554972057430775	0.000287194176888035	3.54182437003918	Underexpression	****	1.9e-26	25.7212463990472	Gene expression	Stemness	0.815	NS	0.892	NS	0.442	NS	0.82	NS
(`AFAP1-AS1` + `AGAP2-AS1` + `FOXD2-AS1` + LINC00160 + LINC00313 + LINC01133 + LINC01296 + PCAT6 + SNHG15 + SNHG17)	KIRC	-0.454013488701303	8.85744185222691e-11	10.0526916900634	Overexpression	****	3e-36	35.5228787452803	Gene expression	Stemness	5.47e-10	Risky	5.1e-12	Risky	0.461	NS	1.33e-10	Risky
(`AFAP1-AS1` + `CTB-193M12.5` + DANCR + `DDX11-AS1` + `FAM83H-AS1` + `FEZF1-AS1` + `FOXD2-AS1` + `HOXA11-AS` + LINC00467 + LINC00511 + LINC01232 + LINC01234 + PRAC2 + RPL13AP20 + SNHG16 + SNHG17)	ESCA	0.49516077205085	8.63982399794469e-09	8.06349510445397	Overexpression	****	1.1e-91	90.9586073148418	Gene expression	Stemness	0.599	NS	0.617	NS	0.291	NS	0.786	NS
(`AFAP1-AS1` + CASC11 + `FAM83C-AS1` + SNHG1 + SNHG12 + SNHG20)	BRCA	0.353952821911663	8.85493846201722e-35	34.0528144526218	Unchanged	ns	0.12	0.920818753952375	Gene expression	Stemness	0.989	NS	0.939	NS	0.902	NS	0.869	NS
(`AFAP1-AS1` + CASC15 + NKILA)	UVM	-0.528870936832495	1.30355777263291e-05	4.88486971648669	""	""			Gene expression	Stemness	0.581	NS	0.547	NS			0.441	NS
(`AFAP1-AS1` + KCNQ1OT1 + `OIP5-AS1` + PCAT18)	LGG	0.332309769717976	2.75444302153533e-05	4.55996620702228	Underexpression	****	6.9e-47	46.1611509092627	Gene expression	Stemness	0.639	NS	0.566	NS	0.187	NS	0.149	NS
(`AGAP2-AS1` + `BDNF-AS` + `ELFN1-AS1` + `FAM83H-AS1` + `GATA6-AS1` + LINC00174 + LINC00313 + LINC00665 + LINC01133 + LINC01296 + `LOXL1-AS1` + MIR31HG + MSTO2P + PWAR5)	THYM	-0.787310985025958	0.00180314473229433	2.74396941253768	Overexpression	****	2.1e-56	55.6777807052661	Gene expression	Stemness	0.179	NS	0.537	NS			0.896	NS
(`AGAP2-AS1` + `FEZF1-AS1`)	LGG	-0.432827292429378	0.016536676135637	1.78155177900456	Underexpression	****	1.4e-46	45.8538719643218	Gene expression	Stemness	1.99e-18	Risky	2.12e-17	Risky	0.000632	Risky	2.94e-14	Risky
(`AGAP2-AS1` + `FOXC2-AS1` + `LOXL1-AS1`)	PRAD	-0.249324605598894	0.00066397422309269	3.17784878055051	Unchanged	ns	0.11	0.958607314841775	Gene expression	Stemness	0.3	NS	0.679	NS	0.269	NS	0.219	NS
(`AGAP2-AS1` + `FOXC2-AS1` + MIR31HG + `SOX2-OT` + XIST)	BRCA	-0.443482428700752	9.50978249649712e-57	56.0218294159386	Underexpression	**	0.0043	2.36653154442041	Gene expression	Stemness	0.0709	NS	0.378	NS	0.462	NS	0.873	NS
(`AGAP2-AS1` + `LINC-PINT` + `TNK2-AS1`)	LAML	-0.423233200521074	3.02339704590605e-07	6.51950481559985	Overexpression	****	3.1e-34	33.5086383061657	Gene expression	Stemness	0.182	NS						
(`AGAP2-AS1` + CASC11 + CASC9 + `CRYM-AS1` + `CTB-193M12.5` + `DHRS4-AS1` + `FAM83C-AS1` + `FAM83H-AS1` + LINC00511 + LINC00526 + LINC00630 + LINC00665 + LINC01232 + LINC01234 + LINC01296 + LINC01419 + `LL22NC03-N64E9.1` + `LOXL1-AS1` + `OIP5-AS1` + PCAT6 + PRAC2 + `SH3PXD2A-AS1` + SNHG17 + `SOX2-OT` + `SOX21-AS1`)	LUSC	0.612632553346556	1.21031585968683e-07	6.91710127578449	Overexpression	****	7.4e-132	131.130768280269	Gene expression	Stemness	0.364	NS	0.294	NS	0.983	NS	0.769	NS
(`AGAP2-AS1` + CASC15 + FENDRR + HOTAIRM1 + `HOXA-AS2` + LINC01088 + `MAGI2-AS3` + NKILA + `NPTN-IT1` + PWAR5 + `ZEB2-AS1`)	OV	-0.533804620942746	5.31585368584078e-57	56.2744269811353	Underexpression	****	4.6e-49	48.3372421683184	Gene expression	Stemness	0.573	NS	0.889	NS	0.66	NS	0.833	NS
(`AGAP2-AS1` + CCAT2 + LINC00630 + `SOX21-AS1`)	LIHC	-0.362482669444664	3.36627530623883e-29	28.4728503687253	Unchanged	ns	0.66	0.180456064458131	Gene expression	Stemness	0.275	NS	0.291	NS	0.635	NS	0.162	NS
(`AGAP2-AS1` + LINC00174)	THCA	-0.504386788851505	5.96432408805862e-06	5.22443876598507	Underexpression	****	1.1e-97	96.9586073148418	Gene expression	Stemness	0.000879	Risky	0.000137	Risky	0.883	NS	0.552	NS
(`ARAP1-AS1` + CASC9 + `FAM83H-AS1` + ULK4P2)	LGG	-0.342959703500711	0.0232891367870104	1.63284660831314	Underexpression	**	0.0054	2.26760624017703	Gene expression	Stemness	0.241	NS	0.225	NS	0.14	NS	0.196	NS
(`ATP5J2-PTCD1` + ATP6AP1 + ATP6V1E2 + NDUFS4)	THYM	-0.507297901214021	8.72649589188205e-10	9.05916011142841	Overexpression	****	3.3e-34	33.4814860601221	Gene expression	Stemness	0.284	NS	0.686	NS			0.719	NS
(`ATP5J2-PTCD1` + UQCRH)	LUAD	0.208124573802063	2.81981818549698e-05	4.54977889295048	Overexpression	****	5.4e-100	99.267606240177	Gene expression	Microsatellite instability	0.00598	Risky	0.157	NS	0.903	NS	0.485	NS
(`ATP5J2-PTCD1` + UQCRH)	LUAD	0.201159037165936	0.0458589122597049	1.33857625063553	Overexpression	****	5.4e-100	99.267606240177	Gene expression	Tumor mutational burden	0.00598	Risky	0.157	NS	0.903	NS	0.485	NS
(`BDNF-AS` + `DHRS4-AS1` + KCNQ1OT1 + `NPTN-IT1` + XIST)	UCEC	-0.487588632725034	3.41826069685748e-09	8.46619481847627	Underexpression	****	1.2e-36	35.9208187539524	Gene expression	Stemness	0.62	NS	0.457	NS	0.314	NS	0.796	NS
(`BDNF-AS` + `FOXC2-AS1` + `LINC-PINT` + `NPTN-IT1` + `ZEB2-AS1`)	STAD	-0.512940672586216	3.40235923720028e-20	19.4682198334345	Underexpression	****	1.5e-05	4.82390874094432	Gene expression	Stemness	0.273	NS	0.113	NS	0.0962	NS	0.0988	NS
(`BDNF-AS` + `GATA6-AS1` + `MAGI2-AS3` + `UNC5B-AS1`)	LUAD	-0.257349652181309	0.00330339389106468	2.48103963868621	Underexpression	****	8.8e-81	80.0555173278498	Gene expression	Microsatellite instability	0.49	NS	0.689	NS	0.828	NS	0.88	NS
(`BDNF-AS` + `GATA6-AS1` + LINC01088 + `MAGI2-AS3` + `TSPEAR-AS2` + `UNC5B-AS1`)	LUAD	-0.63422447660851	1.24807247180722e-05	4.90376019574963	Underexpression	****	1.2e-101	100.920818753952	Gene expression	Stemness	0.658	NS	0.664	NS	0.884	NS	0.724	NS
(`BDNF-AS` + CASC15 + TINCR)	COAD	-0.562820298393715	3.70227662480254e-16	15.4315311349788	Underexpression	****	2e-57	56.698970004336	Gene expression	Stemness	0.315	NS	0.231	NS	0.991	NS	0.654	NS
(`BDNF-AS` + DUXAP8 + `HAS2-AS1`)	THCA	-0.489410443504189	0.0283432460463335	1.5475504131118	Overexpression	*	0.035	1.45593195564972	Gene expression	Stemness	0.12	NS	0.26	NS	0.134	NS	0.76	NS
(`BDNF-AS` + GAS5 + `TNK2-AS1`)	LGG	0.392967645899989	1.11319034893093e-05	4.9534305675412	Overexpression	****	2.5e-144	143.602059991328	Gene expression	Stemness	1.24e-08	Protective	7.85e-08	Protective	0.196	NS	2.03e-05	Protective
(`BDNF-AS` + LINC00174)	SKCM	-0.262865496155265	5.21104940398987e-08	7.28307480943188	Underexpression	****	2.9e-113	112.537602002101	Gene expression	Stemness	0.222	NS	0.313	NS			0.0149	Protective
(`BDNF-AS` + LINC00665)	PAAD	-0.363110031927194	2.57180380967545e-14	13.5897621646845	Overexpression	****	5.8e-26	25.2365720064371	Gene expression	Stemness	0.181	NS	0.133	NS	0.0698	NS	0.00122	Protective
(`BDNF-AS` + NKILA + `SH3PXD2A-AS1`)	LIHC	-0.415908426325478	0.0041256947545672	2.38450290707325	Overexpression	****	4.9e-18	17.3098039199715	Gene expression	Stemness	0.567	NS	0.492	NS	0.776	NS	0.539	NS
(`CACNA1G-AS1` + `MRPL23-AS1`)	SARC	-0.304636250789009	0.0264705593011174	1.57723688231698	Unchanged	ns	0.7	0.154901959985743	Gene expression	Stemness	0.0923	NS	0.0247	Protective	0.0381	Protective	0.00773	Protective
(`CACNA1G-AS1` + `UNC5B-AS1`)	THYM	-0.40616277454005	2.00410263484219e-07	6.69808004098631	Overexpression	****	1.7e-65	64.7695510786217	Gene expression	Stemness	0.944	NS	0.73	NS			0.0321	Protective
(`CACNA1G-AS1` + CASC15 + CIR1 + FENDRR + `GATA6-AS1` + `HAS2-AS1` + HEIH + IL7R + LINC00174 + LINC00313 + LINC00526 + LINC01088 + PWAR5 + PWAR6 + `ZEB2-AS1`)	UCEC	-0.679738918694591	2.6005973129499e-27	26.5849268905196	Underexpression	****	7e-43	42.1549019599857	Gene expression	Stemness	0.938	NS	0.538	NS	0.31	NS	0.431	NS
(`CACNA1G-AS1` + HEIH + LINC00174 + LINC00313 + LINC00526 + SNHG8 + ULK4P2)	BRCA	-0.473335611461276	1.109740538455e-65	64.9547785490413	Underexpression	****	2.6e-84	83.5850266520292	Gene expression	Stemness	0.261	NS	0.0344	Protective	0.182	NS	0.166	NS
(`CBR3-AS1` + `DDX11-AS1` + DUXAP8 + LINC00511 + LINC00630 + `LL22NC03-N64E9.1` + SNHG15 + SNHG20 + `SOX2-OT`)	LGG	0.421448479216152	0.00983259212255522	2.00733197595	Overexpression	****	3.6e-150	149.443697499233	Gene expression	Stemness	0.363	NS	0.289	NS	0.601	NS	0.441	NS
(`CBR3-AS1` + `DDX11-AS1` + SNHG15)	LGG	0.206109865505906	0.00254266674886079	2.59471055630671	Overexpression	****	2.4e-76	75.6197887582884	Gene expression	Microsatellite instability	0.618	NS	0.967	NS	0.852	NS	0.834	NS
(`CBR3-AS1` + `FOXC2-AS1` + `GATA6-AS1` + `HNF1A-AS1` + LINC01088 + LSINCT5 + PART1 + `SPRY4-IT1` + `ZNF674-AS1`)	KIRP	-0.475973948140379	9.09155864428571e-13	12.0413616555476	Underexpression	****	1.5e-23	22.8239087409443	Gene expression	Stemness	0.177	NS	0.187	NS	0.247	NS	0.496	NS
(`CBR3-AS1` + `PTENP1-AS`)	PCPG	0.428731280089875	0.0311215610446801	1.50693862710371	Overexpression	**	0.0033	2.48148606012211	Gene expression	Stemness	0.254	NS	0.0805	NS	0.206	NS	0.827	NS
(`CBR3-AS1` + `PTENP1-AS`)	STAD	-0.270885641278646	0.00612934269309335	2.21258609645523	Underexpression	****	3.2e-10	9.49485002168009	Gene expression	Microsatellite instability	0.0357	Risky	0.0644	NS	0.853	NS	0.204	NS
(`CBR3-AS1` + CCAT2 + `HAS2-AS1` + HULC + NKILA + SNHG15)	COAD	-0.375943055111711	0.000822627183056499	3.08479694367636	Overexpression	****	9.3e-64	63.0315170514461	Gene expression	Microsatellite instability	0.916	NS	0.619	NS	0.295	NS	0.839	NS
(`CBR3-AS1` + FENDRR + HEIH + LINC00313)	STAD	-0.409118271924102	0.00999638622506295	2.00015697261629	Underexpression	****	6.1e-23	22.2146701649892	Gene expression	Microsatellite instability	0.081	NS	0.109	NS	0.827	NS	0.0722	NS
(`CBR3-AS1` + HULC + ZNF800)	COAD	-0.249788067752093	0.00351905761963936	2.45357362214277	Overexpression	****	4.3e-27	26.3665315444204	Gene expression	Microsatellite instability	0.363	NS	0.195	NS	0.831	NS	0.227	NS
(`CBR3-AS1` + LINC00511 + `PTENP1-AS` + `THUMPD3-AS1`)	LGG	0.34784407627384	0.00125710942476825	2.90062691761661	Overexpression	****	4.3e-125	124.36653154442	Gene expression	Stemness	0.396	NS	0.291	NS	0.849	NS	0.221	NS
(`CBR3-AS1` + LINC00526 + LINC00662 + LINC01234)	PCPG	0.433386406617363	0.000912267386522069	3.03987785084779	Overexpression	**	0.0036	2.44369749923271	Gene expression	Stemness	0.325	NS	0.0996	NS	0.65	NS	0.588	NS
(`CBR3-AS1` + SNHG20)	PAAD	0.294922107980685	0.00398793439942492	2.39925199434285	Unchanged	ns	0.28	0.552841968657781	Gene expression	Microsatellite instability	6.91e-05	Protective	0.000233	Protective	0.00645	Protective	3.33e-06	Protective
(`CDKN2B-AS1` + `CTB-193M12.5` + `DDX11-AS1` + DLEU2 + `ELFN1-AS1` + LINC01232 + TINCR)	BRCA	0.411171059126513	4.93190310721095e-48	47.3069854641965	Overexpression	****	3.5e-79	78.4559319556497	Gene expression	Stemness	0.329	NS	0.115	NS	0.89	NS	0.643	NS
(`CDKN2B-AS1` + `CTB-193M12.5` + LINC00460)	KIRC	-0.245741940198529	2.74821430921556e-08	7.56094940346087	Overexpression	****	1.4e-45	44.8538719643218	Gene expression	Stemness	1.42e-08	Risky	1.51e-10	Risky	0.0866	NS	3.06e-12	Risky
(`CDKN2B-AS1` + `DDX11-AS1` + TINCR)	BRCA	0.364438839555139	5.16167711354997e-37	36.2872091660435	Overexpression	****	3.2e-79	78.4948500216801	Gene expression	Stemness	0.295	NS	0.485	NS	0.532	NS	0.97	NS
(`CDKN2B-AS1` + `PTENP1-AS` + `SEMA3B-AS1` + `ZEB2-AS1`)	COAD	-0.591400696514749	6.07572435677709e-20	19.2164019374172	Underexpression	****	3e-91	90.5228787452803	Gene expression	Stemness	0.951	NS	0.377	NS	0.994	NS	0.966	NS
(`CDKN2B-AS1` + `PTENP1-AS` + `ZEB2-AS1`)	READ	-0.642709139040827	8.57440801266381e-18	17.0667958544582	Underexpression	****	2.3e-42	41.6382721639824	Gene expression	Stemness	0.611	NS	0.355	NS	0.705	NS	0.746	NS
(`CDKN2B-AS1` + `RP11-295G20.2`)	BRCA	0.415268435347695	4.36269128609517e-49	48.3602455175859	Overexpression	****	1.3e-105	104.886056647693	Gene expression	Stemness	0.854	NS	0.828	NS	0.473	NS	0.808	NS
